"Time","sum(kube_deployment_status_replicas_available{deployment=""python-service""})"
1760348320000,1
1760348325000,1
1760348330000,1
1760348335000,1
1760348340000,2
1760348345000,2
1760348350000,2
1760348355000,2
1760348360000,1
1760348365000,2
1760348370000,2
1760348375000,2
1760348380000,1
1760348385000,2
1760348390000,2
1760348395000,3
1760348400000,3
1760348405000,5
1760348410000,5
1760348415000,5
1760348420000,5
1760348425000,1
1760348430000,5
1760348435000,5
1760348440000,5
1760348445000,1
1760348450000,5
1760348455000,5
1760348460000,10
1760348465000,10
1760348470000,10
1760348475000,10
1760348480000,10
1760348485000,10
1760348490000,10
1760348495000,10
1760348500000,10
1760348505000,10
1760348510000,10
1760348515000,1
1760348520000,1
1760348525000,1
1760348530000,1
1760348535000,1
1760348540000,1
1760348545000,1
1760348550000,1
1760348555000,2
1760348560000,2
1760348565000,2
1760348570000,2
1760348575000,1
1760348580000,5
1760348585000,5
1760348590000,5
1760348595000,5
1760348600000,4
1760348605000,5
1760348610000,5
1760348615000,5
1760348620000,1
1760348625000,1
1760348630000,1
1760348635000,8
1760348640000,8
1760348645000,10
1760348650000,10
1760348655000,10
1760348660000,10
1760348665000,10
1760348670000,10
1760348675000,10
1760348680000,10
1760348685000,10
1760348690000,10
1760348695000,1
1760348700000,1
1760348705000,1
1760348710000,1
1760348715000,1
1760348720000,1
1760348725000,1
1760348730000,10
1760348735000,10
1760348740000,2
1760348745000,2
1760348750000,1
1760348755000,1
1760348760000,1
1760348765000,1
1760348770000,1
1760348775000,1
1760348780000,5
1760348785000,5
1760348790000,5
1760348795000,5
1760348800000,5
1760348805000,1
1760348810000,5
1760348815000,5
1760348820000,6
1760348825000,9
1760348830000,9
1760348835000,10
1760348840000,10
1760348845000,10
1760348850000,10
1760348855000,10
1760348860000,9
1760348865000,9
1760348870000,9
1760348875000,10
1760348880000,10
1760348885000,10
1760348890000,1
1760348895000,1
1760348900000,1
1760348905000,1
1760348910000,1
1760348915000,1
1760348920000,1
1760348925000,1
1760348930000,2
1760348935000,2
1760348940000,2
1760348945000,5
1760348950000,5
1760348955000,5
1760348960000,1
1760348965000,5
1760348970000,5