"Time","{__name__=""kube_deployment_status_replicas"", deployment=""python-service"", instance=""kube-state-metrics:8080"", job=""kube-state-metrics"", namespace=""oris-predictive-autoscaler""}"
1760893070000,1
1760893080000,1
1760893090000,1
1760893100000,1
1760893110000,1
1760893120000,1
1760893130000,4
1760893140000,4
1760893150000,4
1760893160000,21
1760893170000,1
1760893180000,1
1760893190000,1
1760893200000,4
1760893210000,4
1760893220000,6
1760893230000,6
1760893240000,8
1760893250000,11
1760893260000,11
1760893270000,1
1760893280000,1
1760893290000,1
1760893300000,12
1760893310000,13
1760893320000,13
1760893330000,1
1760893340000,1
1760893350000,7
1760893360000,1
1760893370000,1
1760893380000,1
1760893390000,1
1760893400000,7
1760893410000,1
1760893420000,1
1760893430000,1
1760893440000,6
1760893450000,6
1760893460000,1
1760893470000,1
1760893480000,13
1760893490000,1
1760893500000,1
1760893510000,1
1760893520000,1
1760893530000,4
1760893540000,4
1760893550000,18
1760893560000,18
1760893570000,18
1760893580000,15
1760893590000,17
1760893600000,17
1760893610000,1
1760893620000,1
1760893630000,1
1760893640000,4
1760893650000,4
1760893660000,4
1760893670000,6
1760893680000,19
1760893690000,1
1760893700000,1
1760893710000,1
1760893720000,4
1760893730000,9
1760893740000,9
1760893750000,9
1760893760000,10
1760893770000,10
1760893780000,10
1760893790000,10
1760893800000,12
1760893810000,12
1760893820000,12
1760893830000,12
1760893840000,10
1760893850000,10
1760893860000,1
1760893870000,1
1760893880000,1
1760893890000,1
1760893900000,2
1760893910000,4
1760893920000,6
1760893930000,6
1760893940000,6
1760893950000,7
1760893960000,7
1760893970000,1
1760893980000,1
1760893990000,1
1760894000000,4
1760894010000,4
1760894020000,4
1760894030000,16
1760894040000,16
1760894050000,17
1760894060000,17
1760894070000,17
1760894080000,17
1760894090000,17
1760894100000,1
1760894110000,1
1760894120000,1
1760894130000,4
1760894140000,6
1760894150000,1
1760894160000,1
1760894170000,3
1760894180000,3
1760894190000,3
1760894200000,8
1760894210000,10
1760894220000,19
1760894230000,1
1760894240000,1
1760894250000,1
1760894260000,9
1760894270000,10
1760894280000,11
1760894290000,11
1760894300000,11
1760894310000,11
1760894320000,11
1760894330000,13
1760894340000,1
1760894350000,1
1760894360000,1
1760894370000,1